Label, Samples,Response Times ,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_CMN_LOGIN,5,0.9,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_CMN_STEPUP,5,8.5,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_005_Profile,5,0.6,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_005_UserDetails,5,3.0,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_005_Preferences,5,0.8,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_005_AccountLimits,5,3.2,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_005_Agreements,5,0.9,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_005_Reset_PinCode,5,0.5,,,,,,,,,,,,,,,,,
COYNI_MOB_NATIVEAPP_005_SignOut,5,0.9,,,,,,,,,,,,,,,,,
TOTAL,45,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
