COYNI V2 CUSTOMER WEB,,,,,,,,,,,,
TRANSACTIONS,COUNT,RESPONSE TIME,,,,,,,,,,
COYNI_V2_WEB_CMN_TwoStep,9,3.2,,,,,,,,,,
COYNI_V2_WEB_CMN_UserLogin,9,17.4,,,,,,,,,,
COYNI_V2_WEB_ENCRYPT_CMN_TwoStep,9,0.3,,,,,,,,,,
COYNI_V2_WEB_ENCRYPT_CMN_USERLOGIN,9,0.6,,,,,,,,,,
COYNI_V2_WEB_UC04_MngPwd_ForgotEmail_001_ENCRYPT_Validate_Phone,3,0.6,,,,,,,,,,
COYNI_V2_WEB_UC04_MngPwd_ForgotEmail_002_VALIDATE_PHONE,3,5.7,,,,,,,,,,
COYNI_V2_WEB_UC04_MngPwd_ForgotEmail_003_ENCRYPT_OTP_SEND,3,1.0,,,,,,,,,,
COYNI_V2_WEB_UC04_MngPwd_ForgotEmail_004_OTP_SEND,3,7.4,,,,,,,,,,
COYNI_V2_WEB_UC04_MngPwd_ForgotEmail_005_ENCRYPT_EMAIL_RETRIEVE,3,0.3,,,,,,,,,,
COYNI_V2_WEB_UC04_MngPwd_ForgotEmail_006_EMAIL_RETRIEVE,3,0.5,,,,,,,,,,
COYNI_V2_WEB_UC05_MngPwd_ForgotPassword_001_ENCRYPT_OTP_SEND,3,0.6,,,,,,,,,,
COYNI_V2_WEB_UC05_MngPwd_ForgotPassword_002_OTP_SEND,3,11.6,,,,,,,,,,
COYNI_V2_WEB_UC05_MngPwd_ForgotPassword_003_ENCRYPT_EMAIL_OTP_VALIDATE,3,0.3,,,,,,,,,,
COYNI_V2_WEB_UC05_MngPwd_ForgotPassword_004_EMAIL_OTP_VALIDATE,3,3.2,,,,,,,,,,
COYNI_V2_WEB_UC05_MngPwd_ForgotPassword_005_ENCRYPT_SET_PASSWORD,3,0.3,,,,,,,,,,
COYNI_V2_WEB_UC05_MngPwd_ForgotPassword_006_SET_PASSWORD,3,5.0,,,,,,,,,,
COYNI_V2_WEB_UC06_MngPwd_ChgPwd_001_ENCRYPT_USEROTP_VALIDATE,3,0.3,,,,,,,,,,
COYNI_V2_WEB_UC06_MngPwd_ChgPwd_002_USEROTP_VALIDATE,3,1.4,,,,,,,,,,
COYNI_V2_WEB_UC06_MngPwd_ChgPwd_003_ENCRYPT_CHANGE_PASSWORD,3,0.3,,,,,,,,,,
COYNI_V2_WEB_UC06_MngPwd_ChgPwd_004_CHANGE_PASSWORD,3,2.0,,,,,,,,,,
COYNI_V2_WEB_UC08_ENCRYPT_001_FILTERS_Types,3,0.3,,,,,,,,,,
COYNI_V2_WEB_UC08_ENCRYPT_003_FILTERS_Trans,3,0.3,,,,,,,,,,
COYNI_V2_WEB_UC08_FILTERS_002_FILTERS_Types,3,0.8,,,,,,,,,,
COYNI_V2_WEB_UC08_FILTERS_004_FILTERS_Trans,3,1.1,,,,,,,,,,
COYNI_V2_WEB_UC09_ENCRYPT_001_Exports_Trans,3,0.3,,,,,,,,,,
COYNI_V2_WEB_UC09_Exports_002_Exports_Trans,3,0.7,,,,,,,,,,
COYNI_V2_WEB_UC09_Exports_003_Exports_Event,3,0.7,,,,,,,,,,
COYNI_V2_WEB_UC09_Exports_004_Exports_DownLoad,3,0.5,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
